user_id,activity_id,activity_name,activity_type,activity_location,cost,duration,priority_score,physical_level,weather_sensitive,user_budget,budget_level,travel_style,vehicle,interest_match,vehicle_compatible,rating,budget_encoded,style_encoded,vehicle_encoded,type_encoded,physical_encoded
1,sate_maranggi,Sate Maranggi Dieng,food,Dieng Plateau,30000,1.0,71,easy,0,2000000,high,couple,car,0,1,3.25,0,0,1,1,0
1,nasi_liwet,Nasi Liwet Bu Tini,food,Wonosobo,18000,1.0,70,easy,0,2000000,high,couple,car,0,1,3.85,0,0,1,1,0
1,ikan_bakar_telaga,Ikan Bakar Telaga,food,Telaga Menjer,40000,1.5,76,easy,0,2000000,high,couple,car,1,1,3.04,0,0,1,1,0
1,sup_ikan_mas,Sup Ikan Mas Telaga Menjer,food,Telaga Menjer,35000,1.0,72,easy,0,2000000,high,couple,car,0,1,3.56,0,0,1,1,0
1,warung_tenda_malam,Warung Tenda Malam Hari,food,Alun-alun Wonosobo,25000,1.5,69,easy,0,2000000,high,couple,car,0,1,3.71,0,0,1,1,0
1,street_food_tour,Street Food Tour Wonosobo,food,Wonosobo,50000,2.0,74,easy,0,2000000,high,couple,car,0,1,3.42,0,0,1,1,0
1,cafe_modern_dieng,Coffee Shop Modern Dieng,food,Dieng Kulon,35000,1.5,75,easy,0,2000000,high,couple,car,1,1,4.21,0,0,1,1,0
1,spot_edelweiss,Spot Foto Bunga Edelweiss,attraction,Jalur Prau,5000,1.0,77,medium,1,2000000,high,couple,car,2,0,3.61,0,0,1,0,2
1,instagram_telaga_warna,Instagram Spot Telaga Warna,attraction,Telaga Warna,0,0.5,79,easy,0,2000000,high,couple,car,2,1,5.0,0,0,1,0,0
1,spot_sunset_gardu,Spot Sunset Gardu Pandang,attraction,Gardu Pandang Tieng,5000,1.0,78,easy,1,2000000,high,couple,car,2,1,5.0,0,0,1,0,0
1,selfie_point_sikidang,Selfie Point Kawah Sikidang,attraction,Kawah Sikidang,0,0.5,74,easy,0,2000000,high,couple,car,1,1,3.51,0,0,1,0,0
1,ladang_bunga_matahari,Foto Ladang Bunga Matahari,attraction,Dieng Plateau,10000,1.0,76,easy,0,2000000,high,couple,car,2,1,4.07,0,0,1,0,0
1,negeri_awan,Spot Foto Negeri Di Atas Awan,attraction,Sikunir,15000,2.0,85,medium,1,2000000,high,couple,car,2,1,4.79,0,0,1,0,2
1,cafe_instagramable_dieng,Instagramable Cafe Dieng,food,Dieng Kulon,40000,1.5,73,easy,0,2000000,high,couple,car,1,1,3.92,0,0,1,1,0
1,spot_foto_kebun_teh,Spot Foto Kebun Teh Tambi,attraction,"Tambi, Kejajar",5000,1.0,78,easy,0,2000000,high,couple,car,2,1,4.5,0,0,1,0,0
1,sunrise_point_alt,Sunrise Point Alternatif,attraction,Bukit Pangonan,10000,2.5,81,medium,1,2000000,high,couple,car,2,1,4.96,0,0,1,0,2
1,milky_way_spot,Milky Way Photography Spot,attraction,Sembungan,0,3.0,82,easy,1,2000000,high,couple,car,2,1,4.38,0,0,1,0,0
1,spot_sindoro_sumbing,Spot Foto Latar Sindoro-Sumbing,attraction,Dieng Plateau,0,0.5,75,easy,1,2000000,high,couple,car,2,1,4.46,0,0,1,0,0
1,traditional_village_photo,Traditional Village Photo Tour,attraction,Sembungan,15000,2.0,72,easy,0,2000000,high,couple,car,1,1,4.03,0,0,1,0,0
1,rumah_hobbit,Spot Foto Rumah Hobbit Dieng,attraction,Dieng Kulon,5000,0.5,70,easy,0,2000000,high,couple,car,1,1,3.44,0,0,1,0,0
1,vintage_bridge,Instagramable Bridge Wonosobo,attraction,Wonosobo,0,0.5,68,easy,0,2000000,high,couple,car,1,1,3.95,0,0,1,0,0
1,spot_foto_vintage,Spot Foto Vintage Dieng,attraction,Dieng Kulon,10000,1.0,71,easy,0,2000000,high,couple,car,1,1,5.0,0,0,1,0,0
1,playground_wonosobo,Playground Taman Kota Wonosobo,attraction,Wonosobo,5000,2.0,65,easy,0,2000000,high,couple,car,0,1,2.22,0,0,1,0,0
1,mini_zoo,Mini Zoo Wonosobo,attraction,Wonosobo,15000,1.5,70,easy,0,2000000,high,couple,car,0,1,3.47,0,0,1,0,0
1,kolam_renang_anak,Kolam Renang Anak Kalianget,attraction,Wonosobo,20000,2.0,72,easy,0,2000000,high,couple,car,0,1,3.14,0,0,1,0,0
1,naik_kuda_telaga,Naik Kuda Keliling Telaga,attraction,Telaga Menjer,25000,1.0,74,easy,0,2000000,high,couple,car,0,1,3.64,0,0,1,0,0
1,peternakan_sapi,Peternakan Sapi Perah Edukasi,attraction,Kejajar,20000,1.5,73,easy,0,2000000,high,couple,car,0,1,3.36,0,0,1,0,0
1,mewarnai_gerabah,Mewarnai Gerabah Tradisional,attraction,Wonosobo,25000,1.5,68,easy,0,2000000,high,couple,car,0,1,3.11,0,0,1,0,0
1,story_telling_dieng,Story Telling Legenda Dieng,attraction,Dieng Theater,15000,1.0,66,easy,0,2000000,high,couple,car,0,1,3.15,0,0,1,0,0
1,kids_workshop_carica,Kids Workshop Membuat Carica,attraction,Wonosobo,30000,1.5,70,easy,0,2000000,high,couple,car,0,1,4.37,0,0,1,0,0
1,layang_layang_savana,Bermain Layang-layang di Savana,attraction,Padang Savana Dieng,10000,1.5,71,easy,1,2000000,high,couple,car,1,1,3.57,0,0,1,0,0
1,family_picnic,Family Picnic Area Telaga Dringo,attraction,Telaga Dringo,5000,2.0,69,easy,0,2000000,high,couple,car,0,1,3.32,0,0,1,0,0
1,spa_jamu_tradisional,Spa Tradisional Jamu,attraction,Wonosobo,75000,2.0,74,easy,0,2000000,high,couple,car,0,1,2.87,0,0,1,0,0
1,yoga_sunrise,Yoga Sunrise di Sikunir,attraction,Bukit Sikunir,50000,2.0,78,medium,1,2000000,high,couple,car,1,1,4.47,0,0,1,0,2
1,meditation_retreat,Meditation Retreat Dieng,attraction,Sembungan,100000,3.0,72,easy,0,2000000,high,couple,car,0,1,2.83,0,0,1,0,0
1,hot_stone_massage,Hot Stone Massage Dieng,attraction,Dieng Kulon,85000,1.5,73,easy,0,2000000,high,couple,car,0,1,3.01,0,0,1,0,0
1,reflexology_wonosobo,Reflexology Wonosobo,attraction,Wonosobo,50000,1.0,70,easy,0,2000000,high,couple,car,0,1,3.64,0,0,1,0,0
